billing_country,genre_name,total_sales,,,,
Denmark,Metal,4.95,,,,
France,Pop,4.95,,,,
Italy,Alternative & Punk,4.95,,,,
Netherlands,Alternative & Punk,4.95,,,,
Netherlands,Metal,4.95,,,,
Spain,Alternative & Punk,4.95,,,,
Spain,Latin,4.95,,,,
Brazil,Pop,3.96,,,,
Canada,Reggae,3.96,,,,
Chile,Latin,3.96,,,,
Chile,R&B/Soul,3.96,,,,
Denmark,Jazz,3.96,,,,
France,Jazz,3.96,,,,
Germany,Electronica/Dance,3.96,,,,
Germany,Classical,3.96,,,,
Germany,Easy Listening,3.96,,,,
Ireland,R&B/Soul,3.96,,,,
Italy,Metal,3.96,,,,
Netherlands,Blues,3.96,,,,
Poland,Alternative & Punk,3.96,,,,
Portugal,Jazz,3.96,,,,
Portugal,Alternative,3.96,,,,
Spain,Easy Listening,3.96,,,,
United Kingdom,Alternative,3.96,,,,
Austria,Alternative & Punk,2.97,,,,
Brazil,Blues,2.97,,,,
Brazil,Alternative,2.97,,,,
Canada,Pop,2.97,,,,
Canada,Classical,2.97,,,,
Chile,Alternative,2.97,,,,
Czech Republic,Classical,2.97,,,,
Czech Republic,Jazz,2.97,,,,
Czech Republic,Easy Listening,2.97,,,,
Finland,Reggae,2.97,,,,
India,R&B/Soul,2.97,,,,
India,Alternative,2.97,,,,
Poland,Jazz,2.97,,,,
Poland,Alternative,2.97,,,,
Spain,R&B/Soul,2.97,,,,
Spain,Alternative,2.97,,,,
United Kingdom,Jazz,2.97,,,,
Argentina,Metal,1.98,,,,
Argentina,Blues,1.98,,,,
Argentina,Latin,1.98,,,,
Argentina,R&B/Soul,1.98,,,,
Australia,Easy Listening,1.98,,,,
Australia,Classical,1.98,,,,
Australia,Latin,1.98,,,,
Australia,R&B/Soul,1.98,,,,
Austria,Alternative,1.98,,,,
Belgium,Latin,1.98,,,,
Belgium,Pop,1.98,,,,
Canada,Hip Hop/Rap,1.98,,,,
Canada,Electronica/Dance,1.98,,,,
Chile,Jazz,1.98,,,,
Chile,Blues,1.98,,,,
Czech Republic,Pop,1.98,,,,
Denmark,Electronica/Dance,1.98,,,,
Denmark,Alternative & Punk,1.98,,,,
Finland,Hip Hop/Rap,1.98,,,,
Finland,Alternative,1.98,,,,
Finland,Latin,1.98,,,,
Finland,Jazz,1.98,,,,
Finland,Classical,1.98,,,,
Finland,R&B/Soul,1.98,,,,
France,Electronica/Dance,1.98,,,,
France,Hip Hop/Rap,1.98,,,,
France,Classical,1.98,,,,
Germany,Hip Hop/Rap,1.98,,,,
India,Classical,1.98,,,,
India,Jazz,1.98,,,,
Netherlands,Easy Listening,1.98,,,,
Poland,Classical,1.98,,,,
Poland,Pop,1.98,,,,
Portugal,Pop,1.98,,,,
Portugal,Classical,1.98,,,,
Portugal,Easy Listening,1.98,,,,
Spain,Classical,1.98,,,,
Sweden,Alternative & Punk,1.98,,,,
Sweden,Latin,1.98,,,,
United Kingdom,R&B/Soul,1.98,,,,
United Kingdom,Reggae,1.98,,,,
Argentina,Reggae,0.99,,,,
Argentina,Alternative,0.99,,,,
Argentina,Heavy Metal,0.99,,,,
Argentina,Easy Listening,0.99,,,,
Australia,Pop,0.99,,,,
Australia,Reggae,0.99,,,,
Australia,Blues,0.99,,,,
Australia,Alternative,0.99,,,,
Austria,Heavy Metal,0.99,,,,
Austria,Latin,0.99,,,,
Austria,R&B/Soul,0.99,,,,
Belgium,R&B/Soul,0.99,,,,
Belgium,Electronica/Dance,0.99,,,,
Belgium,Classical,0.99,,,,
Belgium,Alternative,0.99,,,,
Belgium,Jazz,0.99,,,,
Brazil,Reggae,0.99,,,,
Canada,Soundtrack,0.99,,,,
Chile,Classical,0.99,,,,
Chile,Easy Listening,0.99,,,,
Chile,Reggae,0.99,,,,
Czech Republic,Hip Hop/Rap,0.99,,,,
Czech Republic,Reggae,0.99,,,,
Czech Republic,Electronica/Dance,0.99,,,,
Denmark,Reggae,0.99,,,,
Finland,Electronica/Dance,0.99,,,,
Finland,Soundtrack,0.99,,,,
Finland,Easy Listening,0.99,,,,
Germany,Reggae,0.99,,,,
Hungary,Drama,0.99,,,,
Hungary,Latin,0.99,,,,
Hungary,Heavy Metal,0.99,,,,
Hungary,Easy Listening,0.99,,,,
Hungary,Electronica/Dance,0.99,,,,
Hungary,Alternative,0.99,,,,
Hungary,Classical,0.99,,,,
Hungary,Reggae,0.99,,,,
India,Hip Hop/Rap,0.99,,,,
Ireland,Hip Hop/Rap,0.99,,,,
Ireland,Classical,0.99,,,,
Ireland,TV Shows,0.99,,,,
Ireland,Reggae,0.99,,,,
Ireland,Blues,0.99,,,,
Ireland,Alternative,0.99,,,,
Ireland,Pop,0.99,,,,
Italy,Latin,0.99,,,,
Italy,Pop,0.99,,,,
Italy,Jazz,0.99,,,,
Italy,R&B/Soul,0.99,,,,
Italy,Easy Listening,0.99,,,,
Italy,Blues,0.99,,,,
Italy,Alternative,0.99,,,,
Netherlands,Classical,0.99,,,,
Netherlands,Pop,0.99,,,,
Netherlands,Jazz,0.99,,,,
Netherlands,Electronica/Dance,0.99,,,,
Netherlands,Alternative,0.99,,,,
Norway,Blues,0.99,,,,
Norway,Electronica/Dance,0.99,,,,
Norway,Pop,0.99,,,,
Norway,Latin,0.99,,,,
Norway,Alternative,0.99,,,,
Norway,Jazz,0.99,,,,
Poland,Latin,0.99,,,,
Portugal,Hip Hop/Rap,0.99,,,,
Portugal,Reggae,0.99,,,,
Portugal,Heavy Metal,0.99,,,,
Spain,Hip Hop/Rap,0.99,,,,
Spain,Reggae,0.99,,,,
Sweden,Alternative,0.99,,,,
Sweden,Soundtrack,0.99,,,,
Sweden,Reggae,0.99,,,,
Sweden,Blues,0.99,,,,
Sweden,Classical,0.99,,,,
United Kingdom,Heavy Metal,0.99,,,,
United Kingdom,Electronica/Dance,0.99,,,,
United Kingdom,Pop,0.99,,,,
